Gene symbol,P-value (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),FDR step up (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11),Fold change (SAEC-Cas9-C2 vs. SAEC-LIMD1KO-C11)
EID3,2.63E-02,1.31E-01,1.76E+00
MRPL39,3.33E-01,6.08E-01,1.76E+00
AC004943.2,5.82E-02,2.19E-01,1.76E+00
FAM173B,1.95E-02,1.07E-01,1.76E+00
TP53,5.83E-03,4.64E-02,1.76E+00
NADK2,5.68E-03,4.55E-02,1.76E+00
SERPINE1,2.01E-03,2.17E-02,1.76E+00
ZNF708,2.09E-01,4.71E-01,1.76E+00
SMYD3,1.48E-03,1.76E-02,1.75E+00
ADAMTSL5,1.68E-01,4.15E-01,1.75E+00
BTBD9,2.67E-02,1.33E-01,1.75E+00
TTN-AS1,1.08E-01,3.21E-01,1.75E+00
CAMKK1,5.26E-02,2.06E-01,1.75E+00
MIR1248,1.74E-02,9.93E-02,1.75E+00
HOTAIRM1,2.96E-02,1.43E-01,1.75E+00
AC122688.3,3.59E-02,1.62E-01,1.75E+00
AP001062.3,6.22E-02,2.28E-01,1.75E+00
TECRP1,3.09E-01,5.84E-01,1.75E+00
SEPSECS,3.42E-02,1.57E-01,1.75E+00
F8,5.05E-02,2.01E-01,1.75E+00
MED26,2.69E-04,5.17E-03,1.75E+00
TCTN1,2.71E-02,1.34E-01,1.75E+00
AC118344.2,1.19E-01,3.39E-01,1.75E+00
CBR3,2.79E-03,2.77E-02,1.75E+00
CCDC171,1.01E-02,6.88E-02,1.74E+00
TMC7,8.45E-02,2.76E-01,1.74E+00
RPS6P25,3.87E-01,6.57E-01,1.74E+00
AC011498.7,2.97E-02,1.43E-01,1.74E+00
SFI1,1.70E-02,9.77E-02,1.74E+00
NRIP1,5.77E-06,2.88E-04,1.74E+00
LIMD2,3.45E-02,1.58E-01,1.74E+00
MIS12,3.38E-06,1.95E-04,1.74E+00
FAM117B,6.04E-03,4.76E-02,1.74E+00
AC005410.2,7.33E-02,2.53E-01,1.74E+00
TPM3P8,2.29E-01,4.92E-01,1.74E+00
TICAM1,2.48E-01,5.14E-01,1.73E+00
DTNBP1,2.23E-04,4.56E-03,1.73E+00
LHFPL2,1.30E-05,5.45E-04,1.73E+00
ZNF101,3.08E-03,2.96E-02,1.73E+00
SKAP2,2.52E-06,1.55E-04,1.73E+00
CCDC68,2.49E-02,1.26E-01,1.73E+00
AC068152.1,1.60E-01,4.05E-01,1.73E+00
ZNF155,3.05E-01,5.79E-01,1.73E+00
AL392089.1,5.60E-02,2.13E-01,1.73E+00
DNAJC24,1.07E-03,1.37E-02,1.73E+00
CCNO,4.18E-02,1.78E-01,1.73E+00
HSD17B12,1.87E-07,1.83E-05,1.73E+00
MAFF,3.18E-02,1.50E-01,1.73E+00
PIN4P1,1.15E-01,3.34E-01,1.73E+00
ZMYND8,2.08E-05,7.57E-04,1.73E+00
PSD4,3.21E-02,1.50E-01,1.73E+00
NUP160,8.49E-03,6.12E-02,1.73E+00
ATF3,8.64E-02,2.80E-01,1.73E+00
CHIC2,1.08E-01,3.21E-01,1.73E+00
CITED2,7.93E-01,9.25E-01,1.73E+00
ZNF431,2.81E-03,2.78E-02,1.72E+00
RPL23AP57,6.18E-02,2.27E-01,1.72E+00
STC2,1.90E-03,2.09E-02,1.72E+00
ENOSF1,1.72E-05,6.65E-04,1.72E+00
AC131235.1,1.47E-01,3.84E-01,1.72E+00
MMP2,1.89E-01,4.44E-01,1.72E+00
CASP4,1.76E-03,1.98E-02,1.72E+00
BACH1,3.12E-02,1.48E-01,1.72E+00
TMEM123,7.16E-03,5.40E-02,1.72E+00
REL,1.65E-03,1.90E-02,1.72E+00
DOCK6,3.76E-02,1.67E-01,1.72E+00
VCPKMT,2.94E-03,2.87E-02,1.72E+00
SLC2A3,4.77E-04,7.79E-03,1.72E+00
SLC16A4,3.24E-02,1.52E-01,1.72E+00
FAAP100,4.57E-03,3.92E-02,1.72E+00
TTC13,5.25E-02,2.06E-01,1.72E+00
HTD2,7.53E-01,9.07E-01,1.72E+00
RHPN2,2.38E-03,2.47E-02,1.72E+00
ERAP2,3.43E-02,1.57E-01,1.71E+00
OSGIN2,1.71E-03,1.95E-02,1.71E+00
PTGER4,1.93E-01,4.50E-01,1.71E+00
SWSAP1,4.83E-02,1.95E-01,1.71E+00
MAP2K6,5.71E-03,4.56E-02,1.71E+00
TRIQK,2.44E-02,1.24E-01,1.71E+00
AL163051.1,2.56E-02,1.29E-01,1.71E+00
JUND,3.33E-06,1.94E-04,1.71E+00
ANP32C,3.75E-02,1.67E-01,1.71E+00
RCC2,1.23E-01,3.45E-01,1.71E+00
TBC1D4,1.56E-05,6.22E-04,1.71E+00
SOWAHC,7.55E-04,1.09E-02,1.70E+00
EIF3M,1.38E-01,3.71E-01,1.70E+00
PPIAP22,3.04E-01,5.79E-01,1.70E+00
KCTD13,3.19E-01,5.93E-01,1.70E+00
CSRP2,4.41E-03,3.82E-02,1.70E+00
SLX1B,1.81E-01,4.34E-01,1.70E+00
SIK1,1.59E-01,4.04E-01,1.70E+00
ZNF496,1.75E-04,3.79E-03,1.70E+00
HIP1R,3.43E-02,1.57E-01,1.70E+00
LTBP1,1.29E-02,8.13E-02,1.70E+00
PRDX1P1,3.59E-01,6.32E-01,1.70E+00
SPATA24,2.19E-01,4.81E-01,1.70E+00
GPHN,2.75E-02,1.36E-01,1.70E+00
SEMA3A,4.21E-06,2.29E-04,1.70E+00
PKP2,5.02E-02,2.00E-01,1.70E+00
FAM172A,2.42E-04,4.79E-03,1.70E+00
AC063947.2,5.06E-01,7.57E-01,1.69E+00
EIF3FP3,7.64E-01,9.12E-01,1.69E+00
TCEAL1,8.08E-05,2.12E-03,1.69E+00
C9orf47,2.78E-01,5.50E-01,1.69E+00
BTN3A3,1.57E-01,4.01E-01,1.69E+00
CNRIP1,6.58E-01,8.54E-01,1.69E+00
FST,3.74E-02,1.66E-01,1.69E+00
AC090616.6,2.33E-01,4.97E-01,1.69E+00
BET1L,1.47E-03,1.75E-02,1.69E+00
SLC19A1,1.38E-03,1.67E-02,1.69E+00
C2CD2L,1.53E-02,9.13E-02,1.69E+00
RARG,4.83E-04,7.84E-03,1.69E+00
KCNQ1OT1,8.12E-05,2.12E-03,1.69E+00
AFDN,1.04E-05,4.61E-04,1.69E+00
SLC39A8,1.58E-02,9.29E-02,1.69E+00
CCNE2,4.65E-02,1.90E-01,1.68E+00
DCPS,1.79E-01,4.32E-01,1.68E+00
PHF21A,7.44E-06,3.48E-04,1.68E+00
TMEM182,2.16E-01,4.78E-01,1.68E+00
ZNF2,1.96E-01,4.53E-01,1.68E+00
PCYOX1L,1.31E-01,3.58E-01,1.68E+00
MBOAT2,1.06E-04,2.61E-03,1.68E+00
CCDC103,2.75E-01,5.48E-01,1.68E+00
RAB27B,2.38E-02,1.22E-01,1.68E+00
CBLB,2.76E-02,1.36E-01,1.68E+00
ZBTB14,7.40E-03,5.53E-02,1.68E+00
BTBD10,8.35E-04,1.16E-02,1.68E+00
STT3A,6.16E-05,1.74E-03,1.68E+00
STK38L,1.54E-02,9.14E-02,1.68E+00
NPM1P40,2.90E-02,1.41E-01,1.67E+00
FZD4,1.40E-01,3.73E-01,1.67E+00
CTNND1,1.43E-02,8.68E-02,1.67E+00
GAPDHP40,7.71E-01,9.16E-01,1.67E+00
ARHGAP1,2.44E-06,1.53E-04,1.67E+00
ZNF502,1.18E-01,3.37E-01,1.67E+00
RNF157,8.49E-01,9.49E-01,1.67E+00
AC073063.1,1.55E-02,9.16E-02,1.67E+00
FIGN,1.36E-03,1.65E-02,1.67E+00
TAF1D,2.53E-04,4.95E-03,1.67E+00
ZNF414,9.74E-02,3.01E-01,1.67E+00
AC090286.2,9.05E-02,2.87E-01,1.67E+00
RPL7P8,3.09E-01,5.84E-01,1.67E+00
TPPP,6.68E-02,2.38E-01,1.67E+00
SEC14L2,2.41E-02,1.24E-01,1.67E+00
ZNF329,7.05E-02,2.46E-01,1.67E+00
CSAD,5.34E-02,2.08E-01,1.67E+00
KANK2,2.93E-05,1.01E-03,1.67E+00
PIEZO2,1.84E-01,4.38E-01,1.67E+00
POLD1,2.03E-02,1.10E-01,1.67E+00
SNORD3B-2,1.07E-01,3.20E-01,1.66E+00
SNORD3B-1,1.07E-01,3.20E-01,1.66E+00
SPARC,1.54E-01,3.96E-01,1.66E+00
PTENP1,8.75E-02,2.82E-01,1.66E+00
SNX16,1.29E-01,3.54E-01,1.66E+00
HNRNPKP4,1.40E-01,3.72E-01,1.66E+00
ZNF703,1.04E-03,1.34E-02,1.66E+00
ZNF680,6.70E-03,5.14E-02,1.66E+00
C2CD5,6.15E-02,2.26E-01,1.66E+00
TENT5A,5.19E-05,1.53E-03,1.66E+00
AC023157.3,5.55E-02,2.12E-01,1.66E+00
HNRNPUP1,4.41E-02,1.84E-01,1.66E+00
ADORA2B,5.39E-02,2.09E-01,1.66E+00
TEN1,1.08E-01,3.21E-01,1.66E+00
FTX,4.78E-03,4.03E-02,1.66E+00
PGBD2,2.30E-01,4.93E-01,1.66E+00
MED19,1.72E-05,6.65E-04,1.66E+00
FSD1,6.98E-02,2.45E-01,1.65E+00
FGFRL1,6.68E-03,5.13E-02,1.65E+00
FBXO3,1.71E-02,9.81E-02,1.65E+00
AC136632.1,2.63E-01,5.33E-01,1.65E+00
CBR4,5.22E-02,2.05E-01,1.65E+00
PAK4,1.46E-02,8.84E-02,1.65E+00
AC106872.7,1.50E-01,3.88E-01,1.65E+00
GALNT7,2.51E-04,4.92E-03,1.65E+00
ZBTB22,1.81E-01,4.34E-01,1.65E+00
AC007842.1,1.24E-01,3.46E-01,1.65E+00
AC144530.1,7.68E-02,2.60E-01,1.65E+00
AC107027.3,1.50E-01,3.89E-01,1.65E+00
ZNF714,9.32E-03,6.50E-02,1.65E+00
COLGALT1,4.86E-05,1.46E-03,1.65E+00
AC130324.3,3.05E-01,5.79E-01,1.65E+00
RCN1P2,6.13E-02,2.26E-01,1.65E+00
KDELR3,1.46E-02,8.83E-02,1.65E+00
SWT1,4.27E-02,1.80E-01,1.65E+00
TRAPPC5,7.53E-06,3.48E-04,1.64E+00
CAPN5,1.85E-01,4.39E-01,1.64E+00
MTURN,2.28E-01,4.91E-01,1.64E+00
C17orf49,1.40E-06,9.88E-05,1.64E+00
SPACA9,5.02E-02,2.00E-01,1.64E+00
NPIPB3,3.09E-01,5.83E-01,1.64E+00
DDB2,7.95E-05,2.10E-03,1.64E+00
VIM,5.72E-06,2.87E-04,1.64E+00
GMPPA,9.87E-04,1.29E-02,1.64E+00
TERC,3.96E-02,1.72E-01,1.64E+00
GGH,3.93E-02,1.71E-01,1.63E+00
FXYD5,6.32E-04,9.59E-03,1.63E+00
ANXA1,1.70E-06,1.13E-04,1.63E+00
AL928654.1,5.40E-02,2.09E-01,1.63E+00
RNASEH2A,1.22E-03,1.51E-02,1.63E+00
MRPL17,3.80E-04,6.60E-03,1.63E+00
JMJD4,1.68E-03,1.92E-02,1.63E+00
RTN4RL1,2.21E-01,4.83E-01,1.63E+00
PDK4,1.09E-02,7.25E-02,1.63E+00
SERPINB8,2.14E-02,1.14E-01,1.63E+00
APAF1,9.62E-03,6.63E-02,1.63E+00
AC064799.1,2.57E-01,5.26E-01,1.63E+00
ATP11A,1.16E-02,7.57E-02,1.63E+00
AC093752.1,3.39E-01,6.13E-01,1.63E+00
RPL22L1,2.39E-01,5.04E-01,1.63E+00
MEX3D,4.35E-02,1.83E-01,1.63E+00
TOR1B,4.49E-03,3.88E-02,1.63E+00
ENKD1,2.33E-02,1.21E-01,1.63E+00
CRYZ,1.87E-01,4.42E-01,1.63E+00
SCHIP1,2.85E-01,5.58E-01,1.63E+00
RPS13P2,1.08E-01,3.21E-01,1.63E+00
UCKL1,7.77E-01,9.19E-01,1.63E+00
ZNF227,2.00E-01,4.60E-01,1.63E+00
BTG1,1.23E-09,2.48E-07,1.62E+00
WDR19,8.54E-03,6.14E-02,1.62E+00
PTRH1,8.54E-03,6.14E-02,1.62E+00
B3GNT9,1.51E-01,3.91E-01,1.62E+00
STARD4,1.15E-03,1.46E-02,1.62E+00
NCEH1,2.40E-04,4.78E-03,1.62E+00
THG1L,1.57E-06,1.07E-04,1.62E+00
EIF2S2P3,4.20E-02,1.79E-01,1.62E+00
AC008124.1,2.39E-02,1.23E-01,1.62E+00
TAF6L,1.11E-01,3.26E-01,1.62E+00
AC108704.2,1.13E-01,3.29E-01,1.62E+00
RPS19P3,2.98E-01,5.71E-01,1.62E+00
GALC,1.45E-03,1.73E-02,1.62E+00
AC092570.3,4.13E-01,6.80E-01,1.62E+00
KLHL26,3.94E-02,1.72E-01,1.62E+00
CBSL,1.28E-02,8.11E-02,1.62E+00
CENPC,1.83E-03,2.03E-02,1.62E+00
FLCN,1.50E-02,8.97E-02,1.62E+00
E2F5,2.21E-01,4.83E-01,1.62E+00
DYRK4,2.77E-02,1.36E-01,1.62E+00
GPR137B,8.24E-01,9.38E-01,1.62E+00
PTCH1,2.09E-01,4.71E-01,1.62E+00
FAM168A,6.38E-03,4.95E-02,1.62E+00
SIRT3,1.96E-02,1.07E-01,1.62E+00
KIAA0753,1.51E-03,1.77E-02,1.62E+00
IGSF3,6.48E-05,1.79E-03,1.62E+00
CPS1,8.02E-02,2.67E-01,1.62E+00
ID1,6.22E-02,2.28E-01,1.62E+00
HIPK3,1.66E-03,1.91E-02,1.61E+00
PRRC1,3.27E-03,3.10E-02,1.61E+00
PCIF1,4.46E-02,1.85E-01,1.61E+00
KCTD6,2.83E-01,5.57E-01,1.61E+00
PYROXD2,2.18E-01,4.80E-01,1.61E+00
DCUN1D5,1.70E-03,1.94E-02,1.61E+00
MAGI1,1.10E-03,1.40E-02,1.61E+00
CDK6,3.14E-07,2.97E-05,1.61E+00
LRRCC1,2.64E-02,1.32E-01,1.61E+00
AC048341.1,5.02E-02,2.00E-01,1.61E+00
UBE2G1,2.71E-04,5.20E-03,1.61E+00
CDH2,3.80E-03,3.45E-02,1.61E+00
KLHL28,4.31E-03,3.77E-02,1.61E+00
FBXO4,7.84E-02,2.63E-01,1.61E+00
NKAPP1,3.34E-01,6.10E-01,1.61E+00
SCYL3,4.42E-02,1.84E-01,1.61E+00
CHMP6,1.86E-02,1.04E-01,1.60E+00
DYNC2H1,1.59E-05,6.32E-04,1.60E+00
AC021074.1,2.02E-01,4.61E-01,1.60E+00
ACVR2A,4.23E-02,1.79E-01,1.60E+00
AC005912.1,7.89E-01,9.24E-01,1.60E+00
MIR193BHG,2.80E-03,2.78E-02,1.60E+00
FAM160A2,4.32E-03,3.77E-02,1.60E+00
ING4,1.64E-02,9.51E-02,1.60E+00
AC099778.1,2.05E-01,4.65E-01,1.60E+00
CHRNB1,1.29E-01,3.54E-01,1.60E+00
HMGB1P21,2.78E-02,1.37E-01,1.60E+00
AC103591.3,1.78E-01,4.30E-01,1.60E+00
AC100821.1,1.56E-01,3.99E-01,1.60E+00
RHOBTB1,1.17E-02,7.60E-02,1.60E+00
LONRF1,1.55E-02,9.17E-02,1.60E+00
DNASE2,2.54E-03,2.61E-02,1.60E+00
GPR39,1.02E-01,3.08E-01,1.60E+00
RBM4B,5.04E-02,2.00E-01,1.59E+00
ERCC6,6.92E-02,2.43E-01,1.59E+00
NHP2P1,2.73E-02,1.35E-01,1.59E+00
LLGL1,8.56E-01,9.51E-01,1.59E+00
KIAA1551,4.25E-04,7.17E-03,1.59E+00
BBS9,2.18E-01,4.80E-01,1.59E+00
HPRT1,1.81E-01,4.34E-01,1.59E+00
CSGALNACT1,3.40E-06,1.96E-04,1.59E+00
TMEM44,1.45E-01,3.82E-01,1.59E+00
C11orf58,2.34E-06,1.48E-04,1.59E+00
ZFP36L2,3.66E-02,1.64E-01,1.59E+00
AL356000.1,1.28E-02,8.11E-02,1.59E+00
FBXO8,2.59E-01,5.28E-01,1.59E+00
DYRK3,1.85E-01,4.39E-01,1.59E+00
TM2D2,3.75E-02,1.67E-01,1.59E+00
TMED7,2.36E-02,1.22E-01,1.59E+00
TSC22D3,4.91E-02,1.98E-01,1.59E+00
C5orf51,1.02E-02,6.90E-02,1.59E+00
AL390728.4,6.37E-02,2.31E-01,1.58E+00
AC004148.2,2.91E-01,5.64E-01,1.58E+00
MTM1,2.12E-01,4.74E-01,1.58E+00
TCTN2,1.37E-01,3.69E-01,1.58E+00
SESTD1,1.38E-04,3.20E-03,1.58E+00
POMGNT2,1.77E-02,1.00E-01,1.58E+00
NFE2L2,3.87E-05,1.25E-03,1.58E+00
CXorf56,6.56E-03,5.04E-02,1.58E+00
SPRY1,2.16E-01,4.78E-01,1.58E+00
RPL5P12,9.37E-03,6.52E-02,1.58E+00
TAX1BP3,3.69E-04,6.45E-03,1.58E+00
PARP11,1.41E-01,3.75E-01,1.58E+00
AC048341.2,2.00E-02,1.09E-01,1.58E+00
ZNF195,3.36E-04,6.03E-03,1.58E+00
RBFOX3,3.73E-02,1.66E-01,1.58E+00
LRRFIP1P1,4.62E-02,1.89E-01,1.58E+00
UBE2L6,3.06E-03,2.95E-02,1.58E+00
ATXN1,3.11E-03,2.99E-02,1.58E+00
PHOSPHO2,1.27E-01,3.52E-01,1.58E+00
SAMD9,5.82E-04,8.99E-03,1.58E+00
KLHL15,6.24E-02,2.28E-01,1.58E+00
ARMCX7P,1.88E-03,2.07E-02,1.58E+00
ANKRD50,9.51E-04,1.26E-02,1.58E+00
FAM227A,5.22E-02,2.05E-01,1.58E+00
PSMA1,7.43E-02,2.56E-01,1.58E+00
ZNF608,1.36E-02,8.44E-02,1.57E+00
RAF1,2.78E-02,1.37E-01,1.57E+00
APLF,4.43E-02,1.84E-01,1.57E+00
TMPOP2,1.93E-01,4.50E-01,1.57E+00
ARFIP2,5.91E-03,4.69E-02,1.57E+00
CDK2AP1,3.49E-01,6.23E-01,1.57E+00
SSSCA1,8.26E-02,2.72E-01,1.57E+00
TTC33,1.33E-02,8.28E-02,1.57E+00
TPST1,2.00E-01,4.60E-01,1.57E+00
KCTD21-AS1,2.31E-01,4.94E-01,1.57E+00
EFCAB11,2.10E-02,1.12E-01,1.57E+00
PRKAR2B,3.35E-02,1.55E-01,1.57E+00
ELP4,1.17E-01,3.37E-01,1.57E+00
ULBP1,2.27E-01,4.90E-01,1.57E+00
CCDC112,1.90E-03,2.09E-02,1.57E+00
AC008764.10,2.94E-01,5.67E-01,1.57E+00
FAM27E3,1.59E-01,4.03E-01,1.57E+00
PLOD2,6.26E-02,2.29E-01,1.57E+00
SOCS3,4.66E-01,7.25E-01,1.57E+00
ZSCAN30,3.90E-02,1.71E-01,1.57E+00
ANKRD36,2.70E-03,2.72E-02,1.57E+00
TCEANC,2.45E-01,5.10E-01,1.57E+00
ID2,1.55E-02,9.16E-02,1.57E+00
RHOQP3,7.92E-01,9.25E-01,1.57E+00
LPP-AS2,1.12E-01,3.28E-01,1.57E+00
POC5,1.14E-02,7.50E-02,1.57E+00
SMCHD1,8.34E-08,9.54E-06,1.56E+00
GVQW3,1.75E-01,4.26E-01,1.56E+00
FAM118B,1.46E-02,8.84E-02,1.56E+00
RPL39P3,6.77E-01,8.65E-01,1.56E+00
PFAS,3.81E-05,1.24E-03,1.56E+00
ZRSR2P1,3.90E-02,1.71E-01,1.56E+00
SELENOH,2.31E-04,4.66E-03,1.56E+00
CCNG1,1.34E-02,8.34E-02,1.56E+00
PEX16,1.71E-01,4.21E-01,1.56E+00
CLK1,3.60E-04,6.37E-03,1.56E+00
LPAR1,3.26E-02,1.52E-01,1.56E+00
QSER1,3.24E-07,3.04E-05,1.56E+00
RPL17P36,3.43E-01,6.17E-01,1.56E+00
ERCC8,7.74E-02,2.61E-01,1.56E+00
OSGEPL1,4.15E-02,1.78E-01,1.56E+00
SCARNA9,2.17E-04,4.49E-03,1.56E+00
ZNF548,1.20E-01,3.41E-01,1.56E+00
RPS7P1,2.19E-01,4.80E-01,1.56E+00
OSBP,5.94E-06,2.90E-04,1.56E+00
VAMP1,5.12E-01,7.60E-01,1.56E+00
EEF1B2P6,5.63E-01,7.96E-01,1.56E+00
PRH1,2.18E-01,4.80E-01,1.56E+00
MAT2B,7.25E-04,1.06E-02,1.56E+00
NAIF1,9.90E-03,6.76E-02,1.56E+00
ZBTB37,1.03E-02,6.92E-02,1.56E+00
PARPBP,7.02E-04,1.04E-02,1.56E+00
FCF1P6,1.18E-01,3.37E-01,1.56E+00
ZNF771,5.13E-02,2.03E-01,1.56E+00
ARNTL,2.06E-02,1.11E-01,1.56E+00
AC016734.1,3.35E-01,6.10E-01,1.56E+00
NPM1P46,3.55E-02,1.61E-01,1.56E+00
AC005837.1,2.92E-01,5.65E-01,1.56E+00
SRPRA,1.68E-03,1.92E-02,1.56E+00
PPM1H,1.82E-02,1.02E-01,1.55E+00
AC007068.1,3.12E-01,5.86E-01,1.55E+00
TPP1,1.40E-04,3.23E-03,1.55E+00
PEX2,4.29E-03,3.76E-02,1.55E+00
AL132656.3,4.13E-01,6.80E-01,1.55E+00
DENND1B,9.48E-02,2.96E-01,1.55E+00
MED18,1.63E-03,1.88E-02,1.55E+00
SPA17,1.46E-04,3.33E-03,1.55E+00
TRPT1,4.35E-01,7.00E-01,1.55E+00
NKAPD1,3.12E-03,3.00E-02,1.55E+00
AC100757.1,3.15E-01,5.88E-01,1.55E+00
FAM57A,7.11E-03,5.37E-02,1.55E+00
MKRN2,1.07E-01,3.20E-01,1.55E+00
TNFRSF6B,3.09E-01,5.84E-01,1.55E+00
RPUSD4,3.22E-05,1.07E-03,1.55E+00
AC025449.1,7.52E-02,2.57E-01,1.55E+00
RALGAPA1P1,1.15E-01,3.33E-01,1.55E+00
SBF2,2.92E-03,2.85E-02,1.55E+00
GTF2IRD2,1.45E-01,3.81E-01,1.55E+00
SELENOKP1,1.53E-01,3.94E-01,1.55E+00
CXCL3,4.99E-02,2.00E-01,1.55E+00
SH3BGRL2,2.60E-01,5.29E-01,1.55E+00
ZNF432,9.90E-02,3.04E-01,1.55E+00
NPDC1,3.65E-03,3.36E-02,1.54E+00
SATB2,1.81E-01,4.33E-01,1.54E+00
DEGS1,1.35E-03,1.64E-02,1.54E+00
PCF11-AS1,1.12E-01,3.28E-01,1.54E+00
TEFM,5.17E-02,2.04E-01,1.54E+00
EIF4BP6,2.82E-03,2.79E-02,1.54E+00
AL096870.2,2.85E-01,5.59E-01,1.54E+00
GALNT4,9.50E-03,6.58E-02,1.54E+00
MN1,2.20E-01,4.82E-01,1.54E+00
RPS13,6.75E-07,5.50E-05,1.54E+00
DDX49,6.17E-04,9.39E-03,1.54E+00
AP004609.3,1.30E-01,3.57E-01,1.54E+00
CTSB,1.05E-06,7.78E-05,1.54E+00
CRYZL2P,4.15E-01,6.82E-01,1.54E+00
DHRS7B,3.66E-03,3.37E-02,1.54E+00
PIK3CA,1.78E-03,1.99E-02,1.54E+00
PHF23,1.21E-05,5.17E-04,1.54E+00
PRIM2,1.18E-01,3.38E-01,1.54E+00
ABI1,8.79E-02,2.83E-01,1.54E+00
HIST1H2BJ,2.20E-01,4.82E-01,1.54E+00
IKBIP,2.91E-03,2.85E-02,1.54E+00
DUSP18,1.10E-02,7.31E-02,1.54E+00
C1QBP,2.31E-01,4.94E-01,1.54E+00
NECTIN3,1.07E-04,2.63E-03,1.54E+00
ZNF202,2.78E-02,1.37E-01,1.54E+00
MOB3B,1.28E-01,3.52E-01,1.54E+00
ZNF503,1.24E-04,2.93E-03,1.54E+00
SLC35B2,5.59E-01,7.92E-01,1.54E+00
ANG,5.57E-02,2.13E-01,1.54E+00
AC074183.2,2.34E-01,4.97E-01,1.54E+00
AC087388.1,2.73E-01,5.45E-01,1.54E+00
STIM2,5.06E-04,8.14E-03,1.54E+00
LINC00662,1.98E-02,1.08E-01,1.54E+00
GEMIN2,5.91E-02,2.21E-01,1.53E+00
TMEM251,4.25E-01,6.90E-01,1.53E+00
SIK3,3.88E-02,1.71E-01,1.53E+00
RPL23AP3,1.45E-01,3.81E-01,1.53E+00
RBM7,6.93E-02,2.43E-01,1.53E+00
CGRRF1,7.86E-02,2.64E-01,1.53E+00
DUSP19,1.72E-01,4.21E-01,1.53E+00
XYLB,1.40E-01,3.73E-01,1.53E+00
FOSL1,8.17E-02,2.71E-01,1.53E+00
VASN,3.05E-01,5.79E-01,1.53E+00
IL18,1.27E-01,3.51E-01,1.53E+00
RASA1,2.88E-04,5.48E-03,1.53E+00
RALGPS2,1.73E-03,1.96E-02,1.53E+00
AC012676.5,2.04E-01,4.64E-01,1.53E+00
CD302,2.51E-01,5.18E-01,1.53E+00
LINC00562,2.11E-01,4.73E-01,1.53E+00
PLSCR4,1.02E-01,3.09E-01,1.53E+00
COG6,2.97E-01,5.70E-01,1.53E+00
CNOT8,1.17E-01,3.37E-01,1.53E+00
AC008870.1,4.00E-01,6.68E-01,1.53E+00
AP1AR,2.77E-03,2.76E-02,1.53E+00
RIMKLB,5.51E-03,4.47E-02,1.53E+00
AC005332.6,1.96E-01,4.53E-01,1.53E+00
ING5,3.81E-03,3.46E-02,1.53E+00
RPS15AP1,5.29E-01,7.70E-01,1.53E+00
PYGB,1.01E-03,1.31E-02,1.53E+00
ZNF180,3.83E-02,1.69E-01,1.53E+00
PEX10,1.93E-04,4.13E-03,1.53E+00
RBM38,2.54E-01,5.22E-01,1.53E+00
CHRNA7,7.64E-02,2.59E-01,1.53E+00
CAV1,7.72E-04,1.11E-02,1.53E+00
CCNG2,4.02E-01,6.71E-01,1.52E+00
TTC30A,4.43E-02,1.84E-01,1.52E+00
TTLL3,1.54E-01,3.96E-01,1.52E+00
C9orf116,2.67E-02,1.33E-01,1.52E+00
DCK,1.17E-01,3.37E-01,1.52E+00
CCDC191,5.04E-02,2.00E-01,1.52E+00
FNDC10,9.72E-02,3.01E-01,1.52E+00
LSM7,2.51E-05,8.83E-04,1.52E+00
FZD2,1.64E-01,4.11E-01,1.52E+00
CENPP,4.11E-03,3.64E-02,1.52E+00
WWOX,8.28E-02,2.72E-01,1.52E+00
CIRBP,3.17E-05,1.06E-03,1.52E+00
AC015912.3,3.91E-02,1.71E-01,1.52E+00
DLG4,5.42E-03,4.41E-02,1.52E+00
LPCAT2,4.03E-02,1.74E-01,1.52E+00
SLC35A5,3.55E-01,6.29E-01,1.52E+00
PTGS2,3.69E-02,1.65E-01,1.52E+00
TCF3,5.71E-06,2.87E-04,1.52E+00
TMEM185B,2.10E-01,4.72E-01,1.52E+00
AC022182.3,3.19E-02,1.50E-01,1.52E+00
MRPL23,1.01E-02,6.88E-02,1.52E+00
LHFPL6,7.61E-01,9.11E-01,1.52E+00
PLEKHA5,4.51E-05,1.39E-03,1.52E+00
OPHN1,2.48E-01,5.15E-01,1.52E+00
TOLLIP,3.25E-03,3.08E-02,1.52E+00
TMEM86B,3.37E-01,6.11E-01,1.52E+00
ATOH8,7.29E-01,8.95E-01,1.52E+00
PLSCR3,7.54E-03,5.58E-02,1.52E+00
C19orf66,7.24E-03,5.43E-02,1.52E+00
DTD1,8.30E-02,2.73E-01,1.52E+00
HTR1D,4.12E-02,1.77E-01,1.52E+00
METTL15,1.66E-03,1.91E-02,1.52E+00
TXNDC17,8.98E-07,6.87E-05,1.52E+00
AC135178.5,1.29E-01,3.54E-01,1.52E+00
RRAS2,6.76E-04,1.01E-02,1.52E+00
WLS,3.62E-03,3.33E-02,1.52E+00
FTH1P7,1.41E-01,3.74E-01,1.52E+00
AL109741.2,4.96E-01,7.50E-01,1.52E+00
RAB3IP,1.83E-03,2.03E-02,1.51E+00
SNX21,7.94E-02,2.66E-01,1.51E+00
MRE11,5.23E-06,2.70E-04,1.51E+00
WDR45,2.72E-02,1.35E-01,1.51E+00
